Código Produto,Nome Produto,Marca,Modelo,Tipo,Indice,Tratamento,Antireflexo,Variação Antireflexo
LSA0002648,VS POLI COLOR PADRÃO TOTAL ANTIRRISCO,POLI,,VISÃO SIMPLES,1.59,,ANTIRRISCO,
LSA0002667,LT PRONTA CR-39 COLOR PADRÃO DEGRADE,CR-39,,LENTE PRONTA,1.50,,ANTIRRISCO,
LSA0002668,VS CR-39 COLOR PADRÃO DEGRADE - CHAVE 1 ANTIRRISCO,CR-39,,VISÃO SIMPLES,1.50,,ANTIRRISCO,
LSA0002670,VS CR-39 COLOR PADRÃO DEGRADE - CHAVE 2,CR-39,,VISÃO SIMPLES,1.50,,ANTIRRISCO,
LSA0002681,VS CR-39 COLOR PADRÃO DEGRADE 76 mm,CR-39,,VISÃO SIMPLES,1.50,,ANTIRRISCO,
LSA0002836,LT PRONTA CR-39 COLOR ESPECIAL,CR-39,,LENTE PRONTA,1.50,,ANTIRRISCO,
LSA0002837,LT PRONTA CR-39 COLOR PADRÃO TOTAL,CR-39,,LENTE PRONTA,1.50,,ANTIRRISCO,
LSA0002838,LT PRONTA CR-39 INC,CR-39,,LENTE PRONTA,1.50,,ANTIRRISCO,
LSA0002840,LT PRONTA CR-39 INC AR,CR-39,,LENTE PRONTA,1.50,,AR,
LSA0002841,LT PRONTA ESSILOR AIRWEAR CZ EASY UV,ESSILOR,,LENTE PRONTA,1.59,,CRIZAL,EASY
LSA0002842,LT PRONTA ESSILOR AIRWEAR E-SPF 35 FORTE,ESSILOR,,LENTE PRONTA,1.59,,CRIZAL,
LSA0002843,LT PRONTA ESSILOR AIRWEAR SAPPHIRE,ESSILOR,,LENTE PRONTA,1.59,,CRIZAL,SAPPHIRE
LSA0002845,LT PRONTA ESSILOR ORMA CZ EASY UV,ESSILOR,,LENTE PRONTA,1.50,,CRIZAL,EASY
LSA0002846,LT PRONTA ESSILOR ORMA E-SPF 35 FORTE,ESSILOR,,LENTE PRONTA,1.50,,CRIZAL,
LSA0002847,LT PRONTA ESSILOR ORMA OPTIFOG,ESSILOR,,LENTE PRONTA,1.50,,OPTIFOG,
LSA0002848,LT PRONTA ESSILOR ORMA PREVENCIA,ESSILOR,,LENTE PRONTA,1.50,,CRIZAL,PREVENCIA
LSA0002849,LT PRONTA ESSILOR ORMA SAPPHIRE,ESSILOR,,LENTE PRONTA,1.50,,CRIZAL,SAPPHIRE
LSA0002852,LP ORMA EASY CLEAN,ESSILOR,,LENTE PRONTA,1.50,,EASY CLEAN,
LSA0002853,LT PRONTA ESSILOR STYLIS 1.67 E-SPF 35 FORTE,ESSILOR,,LENTE PRONTA,1.67,,CRIZAL,
LSA0002854,LT PRONTA ESSILOR STYLIS 1.67 SAPPHIRE,ESSILOR,,LENTE PRONTA,1.67,,CRIZAL,SAPPHIRE
LSA0002855,LT PRONTA ESSILOR STYLIS 1.74 SAPPHIRE,ESSILOR,,LENTE PRONTA,1.74,,CRIZAL,SAPPHIRE
LSA0002856,LT PRONTA KODAK 1.50 NO REFLEX,KODAK,NO REFLEX,LENTE PRONTA,1.50,,NO REFLEX,
LSA0002858,LT PRONTA KODAK 1.67 NO REFLEX,KODAK,NO REFLEX,LENTE PRONTA,1.67,,NO REFLEX,
LSA0002859,LT PRONTA KODAK POLI NO REFLEX,KODAK,NO REFLEX,LENTE PRONTA,1.59,,NO REFLEX,
LSA0002861,LT PRONTA POLI INC,ESSILOR,,LENTE PRONTA,1.59,,ANTIRRISCO,
LSA0002862,LT PRONTA POLI INC AR,ESSILOR,,LENTE PRONTA,1.59,,AR,
LSA0002863,LT PRONTA POLI INC AR (CIL. ESTENDIDO),POLI,AR,LENTE PRONTA,1.59,,AR,
