Código Produto,Nome Produto,Marca,Modelo,Esférico,Cilíndrico,Eixo
178115,LENTES CNT ACUVUE OASYS AST -2.75 -1.25/160(8.6),ACUVUE,OASYS AST,-2.75,-1.25,160
178312,LENTES CNT ACUVUE OASYS AST -8.00 -1.75/160(8.6),ACUVUE,OASYS AST,-8.00,-1.75,160
394730,LENTES CNT ACUVUE OASYS AST -8.00 -0.75/180(8.6),ACUVUE,OASYS AST,-8.00,-0.75,180
89240,"LENTES CNT ACUVUE 2 -4,25 8.7",ACUVUE,2,-4.25,,
177933,LENTES CNT ACUVUE OASYS AST -0.75 -2.25/170(8.6),ACUVUE,OASYS AST,-0.75,-2.25,170
425909,LENTES CNT ACUVUE OASYS AST -0.75 -2.75/20(8.6),ACUVUE,OASYS AST,-0.75,-2.75,20
178113,LENTES CNT ACUVUE OASYS AST -2.75 -0.75/180(8.6),ACUVUE,OASYS AST,-2.75,-0.75,180
178303,LENTES CNT ACUVUE OASYS AST -7.00 -1.75/170(8.6),ACUVUE,OASYS AST,-7.00,-1.75,170
425830,LENTES CNT ACUVUE OASYS AST -0.25 -2.75/40(8.6),ACUVUE,OASYS AST,-0.25,-2.75,40
426027,LENTES CNT ACUVUE OASYS AST -1.75 -1.75/140(8.6),ACUVUE,OASYS AST,-1.75,-1.75,140
142791,LENTES CNT ACUVUE OASYS +1.75,ACUVUE,OASYS,+1.75,,
396508,LENTES CNT ACUVUE OASYS AST -3.50 -1.25/30(8.6),ACUVUE,OASYS AST,-3.50,-1.25,30
142794,LENTES CNT ACUVUE OASYS +2.50 8.4,ACUVUE,OASYS,+2.50,,
178166,LENTES CNT ACUVUE OASYS AST -3.50 -1.25/170(8.6),ACUVUE,OASYS AST,-3.50,-1.25,170
427253,LENTES CNT ACUVUE OASYS AST -7.00 -2.75/20(8.6),ACUVUE,OASYS AST,-7.00,-2.75,20
178080,LENTES CNT ACUVUE OASYS AST -2.25 -1.75/10(8.6),ACUVUE,OASYS AST,-2.25,-1.75,10
396223,LENTES CNT ACUVUE OASYS AST -2.25 -1.25/20(8.6),ACUVUE,OASYS AST,-2.25,-1.25,20
177987,LENTES CNT ACUVUE OASYS AST -1.25 -2.25/170(8.6),ACUVUE,OASYS AST,-1.25,-2.25,170
177958,LENTES CNT ACUVUE OASYS AST -1.00 -1.75/180(8.6),ACUVUE,OASYS AST,-1.00,-1.75,180
426361,LENTES CNT ACUVUE OASYS AST -3.75 -1.75/80(8.6),ACUVUE,OASYS AST,-3.75,-1.75,80
231846,LENTES CNT ACUVUE OASYS AST -3.75 -1.75/90(8.6),ACUVUE,OASYS AST,-3.75,-1.75,90
426282,LENTES CNT ACUVUE OASYS AST -3.25 -2.75/170(8.6),ACUVUE,OASYS AST,-3.25,-2.75,170
178157,LENTES CNT ACUVUE OASYS AST -3.25 -2.25/10(8.6),ACUVUE,OASYS AST,-3.25,-2.25,10
426611,LENTES CNT ACUVUE OASYS AST -8.50 -1.25/10(8.6),ACUVUE,OASYS AST,-8.50,-1.25,10
426833,LENTES CNT ACUVUE OASYS AST -8.00 -0.75/170(8.6),ACUVUE,OASYS AST,-8.00,-0.75,170
291207,LENTES CNT ACUVUE OASYS AST -1.75 -0.75/20(8.6),ACUVUE,OASYS AST,-1.75,-0.75,20
372292,LENTES CNT ACUVUE OASYS AST -8.00 -1.75/10(8.6),ACUVUE,OASYS AST,-8.00,-1.75,10
170197,LENTES CNT ACUVUE OASYS AST -2.25 -1.75/180(8.6),ACUVUE,OASYS AST,-2.25,-1.75,180
89246,"LENTES CNT ACUVUE 2 -5,75",ACUVUE,2,-5.75,,
